1	16095
0	11589	655	2147
2231	8807	7348	7875
13249	475	11481	10160
3292	3608	4411	6980
478	2806	7370	9997
414	3440	5390	4605
6761	5620	5344	7787
3791	11514	4795	6594
0	1934	873	2032
10672	928	9451	13727
9061	9258	5015	3928
6343	402	6964	6714
2460	4096	3432	5065
14859	14969	14965	5259
4133	9551	12088	1165
12272	6836	10697	13141
1219	2414	1953	841
3687	15425	14050	15390
12745	604	5256	12742
765	763	0	1993
6711	12978	14383	6839
6144	10103	4428	2457
251	8973	4739	1455
2664	2201	1965	3120
11038	692	1364	8946
2686	11467	2411	11375
2011	5121	12410	3308
0	4017	175	2332
0	1931	7740	1820
4030	5017	11545	11572
10214	15126	13066	14024
0	1086	5684	367
6811	10326	7954	10325
679	2616	6476	9790
1642	6104	15002	9753
8915	2269	13563	5969
7072	5275	6654	7837
0	2355	3389	1322
0	4466	2072	4470
7065	14396	11659	11656
7632	1633	7635	930
7514	882	13072	1061
9827	10165	13111	15862
2169	2691	1189	9988
2087	999	102	2481
1576	618	1706	0
0	2814	3064	7117
8522	5739	7617	5067
4657	6101	11572	9047
0	5173	4000	454
3973	14729	1814	5079
0	714	9813	3566
3934	10587	889	4046
325	1717	4159	1219
6062	3510	452	2523
11565	14327	14326	597
1363	5268	3511	5301
8434	6523	10177	13429
0	7461	461	1099
7738	2804	2714	9049
671	934	1943	1863
3161	4165	2438	485
0	2750	4235	12112
2084	6805	9775	2741
0	272	2917	396
0	1930	2176	849
3556	3930	2457	3034
11333	9191	13797	14909
13184	12937	10100	12932
8706	14260	8175	7249
2876	686	2332	3794
9842	7027	11390	13157
14772	14667	9604	15762
11186	4504	3029	8937
1985	3348	7865	5416
0	992	2173	1311
490	4110	1224	571
12238	8690	2010	11486
1256	5267	937	7396
0	2271	7628	324
1193	4071	757	2869
7971	7501	10732	8977
0	3594	4267	3360
15241	15932	11341	13305
771	2479	3630	2315
1068	3263	3568	2867
0	5214	2784	5552
14719	13891	3249	15300
2944	1057	7146	5801
9245	8442	5866	3559
2898	833	1986	2815
5724	998	5557	4914
3419	5211	1220	4169
3967	9396	1925	3171
0	3468	10055	1132
4252	2657	2250	7992
1124	4164	0	0
0	2075	247	7944
8360	10112	13492	10360
2772	8935	4131	8197
884	2211	163	2130
0	45	436	2055
12393	5398	13627	11978
9362	9509	3018	2892
8764	2299	9621	5492
15044	15868	13923	6628
1773	658	3224	1861
3044	12625	11905	14934
0	3223	658	5666
7964	6448	3697	4219
11745	1639	11752	11762
2156	10373	2786	2787
8734	14110	13512	12825
2169	2088	7572	2691
3532	8841	3995	7476
4986	6898	1085	6891
2187	2358	5815	4604
3111	15242	4658	4648
5416	3322	340	7452
0	4040	4673	5212
3810	1420	0	2934
11342	6571	5470	2220
3754	4836	5467	14217
2768	9768	8969	8967
0	1091	2899	612
13866	13851	13879	12495
1816	11288	7020	479
3518	7834	8045	6650
14787	13844	15495	14210
1751	1704	12040	12547
0	7067	9496	957
12684	2542	6568	3048
12812	15499	6774	3790
14404	11660	11661	11652
4746	2595	13018	9865
10500	1643	4895	10910
9267	10009	216	3000
9690	13092	14406	6845
0	4769	13036	13038
3003	10765	10768	7174
0	1673	2593	5364
9650	13552	6193	8083
8556	10007	10036	7115
8825	8903	10738	4378
495	3372	1288	5057
11501	11030	12822	6395
13373	8551	14041	1273
10196	9923	13048	9920
3696	3879	4797	7656
2321	3446	1911	10504
1380	1206	471	767
5106	13681	5931	5591
6511	3798	1096	1945
433	2786	4215	2788
13755	2678	826	12137
947	13252	11659	11658
14514	14578	12964	12966
178	5814	3213	3205
5356	4980	7208	14823
15633	4907	10791	12626
6455	7957	2994	8699
8994	13984	10840	13986
101	5144	2362	1118
11794	14908	14560	14562
886	824	2400	999
0	4549	1832	699
1381	1163	14325	420
4264	4876	12651	10846
3108	0	1272	3972
0	1986	2075	2180
366	1130	4266	4584
4961	8777	2058	6150
8839	2347	7666	2712
10754	9165	9219	2837
