1	46
1	9	11	1062	1
2	9	10	12	1
3	9	11	12	1
4	11	1062	1134	1
5	9	1056	1058	1
6	9	1058	1059	1
7	3	1053	1054	1
8	9	1061	1062	1
9	1060	1061	1062	1
10	3	1057	1061	1
11	3	1060	1061	1
12	3	1053	1135	1
13	4	12	1150	1
14	3	1060	1062	1
15	3	1062	1134	1
16	4	12	1152	1
17	3	1054	1056	1
18	1	1054	1056	1
19	1057	1059	1061	1
20	9	1059	1061	1
21	3	1057	1059	1
22	1056	1058	1059	1
23	3	1056	1059	1
24	5	9	1056	1
25	1	1053	1054	1
26	1	3	1135	1
27	3	7	1150	1
28	5	9	1151	1
29	9	10	1151	1
30	3	7	1134	1
31	2	6	1151	1
32	4	1150	1152	1
33	6	10	1151	1
34	6	10	1152	1
35	1	5	1151	1
36	1150	1151	1152	1
37	2	1151	1152	1
38	7	11	1150	1
39	11	12	1150	1
40	2	6	1152	1
41	1	3	1150	1
42	1	1150	1151	1
43	1	5	1056	1
44	1	1053	1135	1
45	7	11	1134	1
46	10	12	1152	1
