1 6504
266	2059	2992	2533
2366	3931	2699	933
53	1408	985	497
4216	5384	5382	1947
2768	2752	4045	1773
2370	5287	5288	734
3999	1111	2766	4167
5208	1575	2802	4885
3256	3541	958	1427
5565	5928	1611	6011
941	2661	4326	4652
5317	64	508	894
3183	921	131	1200
4103	4102	4506	4105
6243	3192	4390	1765
2098	65	43	643
4641	2226	4441	4638
1822	577	1988	6027
360	6008	3991	988
3053	3357	3050	3074
220	3881	3037	5420
4901	4902	6111	6239
557	402	2909	2175
3977	565	4785	5534
2232	2759	4475	3103
4694	2700	4691	613
1271	285	6379	1237
2688	94	2283	3545
669	2931	2396	2928
2199	4237	2898	2835
1956	1752	1666	1501
5512	5110	2221	5418
481	2201	3386	53
2615	516	2955	2300
1608	2201	463	1217
3538	3537	5574	2981
4961	1054	1160	1111
72	165	5703	2410
1959	5035	2257	4292
4122	1904	4615	625
454	624	4173	2580
5077	638	6127	2767
1723	1129	16	5950
4799	4200	1191	1283
1733	3320	2278	540
2826	1979	4408	4060
4863	1072	5103	5245
75	3014	956	4700
6248	3874	2742	4937
4437	2464	1851	2347
5246	2093	1699	4403
5852	6240	6498	5740
3	3082	33	920
5423	241	1707	113
4249	3286	3778	3249
5382	1276	5116	5383
3874	2032	2991	5697
80	453	3770	2379
3031	3439	663	1300
4919	4991	2001	3962
2915	492	2781	575
2866	276	2970	4704
1431	2050	1120	842
1258	4278	12	202
6168	3475	16	3610
5895	4198	636	5026
1024	841	2292	1172
5591	607	5585	5756
2074	1513	2069	1652
3734	1998	4247	6108
1644	5466	5223	5255
1620	5354	38	1011
3804	3313	3161	3162
934	494	3929	1056
1941	48	1734	160
3421	3418	3399	6177
4548	783	3961	3246
3174	2122	479	2537
945	3443	857	3445
58	3084	2988	3848
2474	230	231	1111
488	535	367	713
3220	1483	3286	2072
5368	1965	3605	6085
5594	1316	1283	6165
5211	2455	1806	4731
5088	2098	4636	1129
2048	2704	239	2040
3553	2423	392	3280
1838	3663	293	3667
1807	373	5856	1140
2765	3643	4167	5145
4930	2759	3515	4435
2689	28	3544	3766
693	2495	2485	3369
2400	4873	3555	4871
4554	3769	5528	3562
3889	2870	295	2033
5747	6373	4467	5398
2464	2089	4277	2437
4034	613	4434	2133
1163	308	1270	3880
3690	4903	655	3693
5760	3912	1186	6068
3581	1751	4743	286
2987	1151	589	3527
1335	726	637	2750
3787	3078	1656	1824
2455	3039	1730	919
3767	5842	4559	4797
4869	4544	3046	2313
1930	1987	1521	4878
829	3415	54	3118
841	1858	1520	3735
683	854	2132	2121
3589	4558	877	3590
286	569	338	528
180	1606	2011	5033
3335	2339	1168	2411
1038	5622	1986	6329
1473	1470	212	217
3119	1522	476	490
1118	1535	2748	2446
3819	2739	603	2124
153	4140	2411	251
6120	6127	145	6001
2169	3136	1577	2534
5710	5561	5787	4660
5230	711	3010	642
184	1147	3112	5706
2072	164	13	3501
2722	3051	1567	3053
1417	4113	1244	343
5361	1101	2263	1988
3333	6183	2335	3111
807	1034	4488	5076
2651	1466	4433	760
2772	792	2849	1796
5152	226	4457	884
1013	2508	5389	2649
4651	560	2332	800
665	195	404	1834
3642	3138	395	4442
2447	5223	639	1343
836	4580	126	1787
1405	2795	1370	1167
2510	1831	2522	3088
3875	5338	4843	5339
3121	377	4025	2880
2146	5381	3735	2291
230	231	870	3192
644	4495	3302	3923
4775	2342	125	4143
5262	1379	4354	1845
6049	1352	1864	4318
1185	5519	1775	4530
5173	2484	6106	3125
2978	3175	3339	4421
1941	1734	896	2278
2972	5051	75	4700
4242	4418	5485	2322
1470	5108	4243	844
3154	778	911	2368
3183	131	3286	1046
2364	1011	38	5596
677	2241	1946	2773
5547	2955	1517	2300
6148	6169	5807	594
5406	2478	1521	5407
4869	4866	4140	270
1863	232	735	1051
4829	4831	1950	1426
674	708	2699	2135
5232	4018	2281	2902
4968	4936	3776	4496
2547	5572	215	2086
2750	5109	2625	1156
1741	3424	2894	3282
640	3149	1097	3148
2560	2129	118	4758
289	3496	3494	3139
3316	4199	1113	3152
2942	493	2946	1700
130	1147	6294	4776
1991	1523	2204	198
3605	600	603	3606
1367	5363	819	3758
3194	1955	1289	3576
5494	254	271	1373
1181	560	5870	2861
3678	3289	1385	3314
1307	1308	2258	2378
3342	2678	1832	1268
1273	1018	364	5915
