1	95307
1	479	4735	2548	7007	1
2	2244	3819	1610	6152	2
3	3011	6271	5092	9291	1
4	498	7748	4881	7750	1
5	2743	3459	2741	7492	1
6	4950	7828	2917	7829	1
7	1788	4354	3122	7009	1
8	8221	11215	5275	11604	1
9	141	225	62	1004	1
10	3844	6179	2262	9188	1
11	8	18	29	622	2
12	5897	6153	2111	9166	1
13	1767	2325	71	3078	1
14	1774	3098	994	5212	1
15	8814	1971	12158	4356	1
16	8632	11988	3409	11990	1
17	9133	15008	3997	15259	1
18	5547	12306	9014	14670	1
19	3450	5665	285	5667	2
20	723	7205	4467	10276	1
21	1814	6350	6021	9421	1
22	1260	9148	7912	9152	1
23	188	156	15	2286	1
24	101	195	232	2885	2
25	10830	10846	1533	14460	1
26	5568	8560	5566	11536	1
27	608	6804	5809	10066	1
28	776	4169	2447	6704	1
29	2129	4711	3654	5931	1
30	5242	8176	3124	11562	1
31	42	1450	819	2564	2
32	4075	9694	4071	13023	1
33	1874	2860	587	3237	2
34	129	2885	1069	7773	2
35	1736	2762	1721	4716	2
36	1759	10297	7681	13600	1
37	1516	7351	2686	10732	1
38	1835	9315	5756	12085	1
39	152	192	73	910	1
40	13084	15464	9753	15465	1
41	5590	5591	1925	5673	1
42	193	57	1	1754	1
43	10006	10013	5189	10039	1
44	11547	14200	8143	14437	1
45	7389	11907	8535	14665	1
46	10	24	52	526	1
47	2576	10421	7084	10422	1
48	154	1031	79	1861	2
49	7883	7897	4997	11280	1
50	10989	11142	5976	14186	1
51	6400	14982	9234	16446	1
52	19	121	150	800	2
53	10	492	31	1151	2
54	127	1450	122	1659	2
55	2655	10641	7278	10644	1
56	476	7526	4712	7528	1
57	191	1178	167	2991	1
58	20	182	248	1039	2
59	5493	8481	1921	10528	1
60	137	1063	17	1910	1
61	1126	2007	507	2010	2
62	1902	7037	565	10356	2
63	6036	6037	3429	12022	1
64	7241	10592	10584	13780	1
65	7613	10760	4785	11046	1
66	115	828	153	1934	2
67	3740	11185	7762	11883	1
68	1856	3213	1032	5362	2
69	4663	5295	1116	5299	1
70	162	13	198	1181	2
71	3648	3784	2124	8609	1
72	3665	4861	1038	5949	2
73	6211	6213	329	9216	1
74	2431	4159	4140	9875	1
75	139	901	595	1271	2
76	8905	14011	12221	14015	1
77	4929	11237	7808	14253	1
78	184	658	72	905	1
79	740	13714	10496	13736	1
80	7536	7573	3688	10983	1
81	5275	5369	3150	8224	1
82	1042	1872	1612	3589	2
83	1219	1632	573	2629	1
84	3081	4192	469	5175	1
85	48	998	109	3118	1
86	239	814	190	1438	1
87	3869	16006	14083	16007	1
88	234	830	204	1472	1
89	8753	11359	7941	14158	1
90	1776	4389	995	4660	1
91	555	3284	1903	5457	2
92	6312	6746	3597	9991	1
93	20	60	14	1986	2
94	3521	5750	503	8750	1
95	8055	14085	8054	14995	1
96	574	2936	1974	3790	1
97	3184	7696	5314	8265	1
98	1227	2167	635	2703	1
99	9640	9945	715	12968	1
100	2012	3420	1991	5672	1
101	603	2918	2055	4953	1
102	13299	13477	11622	14358	1
103	1263	6142	5373	6832	1
104	1194	3628	3209	8309	1
105	5106	10942	8019	14078	1
106	6199	9209	6195	12482	1
107	8012	10885	5298	11416	1
108	7259	13708	10485	15809	1
109	542	3168	2199	5294	1
110	2615	7688	4823	7689	1
111	929	1651	144	2914	2
112	1728	7539	6714	10942	1
113	630	1483	1219	4324	1
114	4387	5674	5589	7069	1
115	83	1141	942	3472	1
116	7321	15084	11610	16387	1
117	2245	3133	887	3613	1
118	6253	6269	3901	8989	1
119	1287	2280	158	2284	1
120	616	1073	118	1657	1
121	248	25	29	2009	2
122	1194	2114	442	3626	1
123	2139	2140	474	3592	2
124	1897	1898	451	5361	2
125	5528	7001	3343	10323	1
126	211	1486	119	3053	1
127	7935	11335	5018	11364	1
128	7939	10295	2527	11352	1
129	910	3558	496	8808	1
130	595	1271	901	3483	2
131	5061	11376	2987	11739	1
132	4854	10154	2847	14197	1
133	1038	4861	3665	5386	2
134	536	2296	1793	3888	1
135	6624	14494	10067	16162	1
136	6814	6826	1406	10111	1
137	295	6298	6294	9334	1
138	164	67	145	1556	2
139	1001	1292	247	2779	1
140	757	5397	3244	8353	1
141	579	2241	1110	3320	2
142	866	1182	143	2092	2
143	150	644	88	1990	1
144	5004	7897	7896	11278	1
145	6248	9267	3890	9722	1
146	1912	3304	499	11671	1
147	1856	3212	1032	5364	2
148	13430	13441	10137	15668	1
149	135	86	209	903	2
150	164	67	119	983	1
151	1687	1797	877	3134	1
152	5752	7963	2986	11375	1
153	2253	6157	460	6158	1
154	1114	3423	2731	6090	1
155	45	661	3319	1663	2
156	565	4430	4368	7037	2
157	2985	5051	954	5057	1
158	1132	3321	2581	7066	1
159	149	1275	46	1276	2
160	98	128	233	1706	1
161	4973	9869	760	12444	1
162	12981	14954	1892	15442	1
163	1854	5356	3655	8327	1
164	9774	14137	13116	16035	1
165	4251	4492	1436	6999	1
166	3238	5387	3818	5949	2
167	2537	4329	1431	6988	1
168	9681	13017	9639	13018	1
169	4705	10927	7519	10928	1
170	238	188	156	1821	2
171	5492	7132	1068	11842	1
172	643	2764	1243	2915	2
173	3284	5361	5360	8329	2
174	19	800	208	1112	2
175	5802	8804	432	8806	1
176	4325	4326	2119	6980	1
177	1070	2857	2248	3486	2
178	1562	5232	3115	8168	1
179	2828	6967	4819	7684	1
180	129	1573	1135	4343	1
181	878	7565	3893	12524	1
182	673	2325	1767	3080	1
183	10057	13378	13375	15153	1
184	823	7083	4401	8490	1
185	4960	4961	2927	6023	1
186	2082	5062	2988	14302	1
187	141	90	225	1004	1
188	440	5762	2919	5763	1
189	1154	6648	6199	9208	1
190	2778	7719	1121	4736	1
191	126	1250	3	2209	1
192	656	1793	1269	1796	1
193	2902	10119	4924	11156	1
194	154	1067	107	1174	1
195	5776	14065	11591	16156	1
196	7184	13698	4455	13725	1
197	1733	1904	1059	3292	2
198	15	648	188	1252	2
199	513	5830	3699	8837	1
200	7376	11039	611	11040	1
201	62	132	141	1551	1
202	10	652	31	978	1
203	5840	8621	5610	8841	1
204	310	7324	7323	10699	1
205	664	2788	1574	4747	1
206	5371	8334	1381	8336	1
207	3283	3284	555	5457	2
208	518	1717	959	3003	1
209	486	4792	1585	4794	1
210	188	28	238	1025	1
211	234	75	204	830	1
212	4152	6671	4973	9885	1
213	4848	11145	5976	14189	1
214	941	6107	511	7311	1
215	160	37	76	1210	2
216	4691	4956	1809	7834	1
217	927	3453	2094	3593	2
218	2769	3282	873	5452	2
219	627	4497	2146	7233	1
220	1556	2250	657	4714	2
221	8521	11890	2650	11891	1
222	900	1565	176	2778	1
223	144	118	240	1657	1
224	593	1702	221	2981	1
225	3029	3030	971	5116	2
226	2544	4346	1135	5235	1
227	2149	3678	1033	3682	2
228	828	1733	11	5116	2
229	3433	5642	3727	6183	1
230	1088	3373	471	8002	1
231	13728	15828	6461	15830	1
232	1002	1566	480	2296	1
233	1035	1560	629	2769	2
234	804	6096	3766	9122	1
235	141	74	186	892	1
236	4397	7057	385	8492	1
237	96	1162	11	2041	1
238	12	21	18	618	2
239	54	10	31	978	1
240	3530	5764	1832	8766	1
241	800	1222	88	2154	2
242	583	3156	1840	5287	1
243	99	972	65	1098	2
244	87	180	213	902	2
245	58	1850	915	2065	1
246	7157	13723	10538	13724	1
247	1260	3798	2227	6134	1
248	2317	5171	3078	8113	1
249	1299	3929	2324	12559	1
250	5952	14117	11014	16526	1
251	6172	7682	3835	10095	1
252	5404	8433	8424	14597	1
253	2003	10501	7159	15821	1
254	1306	3596	61	6309	1
255	176	2196	871	2251	2
256	8037	11446	4751	14107	1
257	4335	10323	7001	11174	1
258	5674	8579	3386	8690	1
259	627	2964	1259	4489	1
260	202	241	91	1035	2
261	876	1566	69	2290	1
262	2476	10049	6786	11694	1
263	2513	8562	4281	11926	1
264	24	10	54	978	1
265	14112	14113	11008	14368	1
266	1567	5248	3675	5966	1
267	177	44	5	1138	2
268	1149	3453	2155	7827	2
269	13619	13620	4076	15763	1
270	246	227	90	1899	2
271	50	24	8	622	2
272	4604	6167	413	8403	1
273	975	8925	5912	8926	1
274	1073	1584	562	2112	1
275	11407	12922	9596	15355	1
276	20	131	182	1869	2
277	3427	3846	3433	6190	1
278	897	11123	7768	11136	1
279	4728	10990	1602	14100	1
280	5845	12196	6798	15634	1
281	63	217	111	1054	1
282	6269	8989	1571	12280	1
283	9926	13029	764	13266	1
284	5183	8108	1171	11090	1
285	1538	1539	859	4659	1
286	44	2832	189	2834	1
287	1174	5806	2071	5808	1
288	662	1623	1620	2863	1
289	9598	9606	9605	15362	1
290	2019	3466	425	5682	2
291	1680	8950	5696	11302	1
292	3319	4714	1667	7529	2
293	1946	3356	838	7168	1
294	4875	5600	498	9018	1
295	1080	5540	4440	8529	1
296	177	1010	199	1816	1
297	1967	5674	3388	8579	1
298	12154	14815	4219	15638	1
299	1244	3422	564	8014	1
300	9447	12596	3410	13326	1
301	5059	9159	7959	14322	1
302	86	2936	650	3397	1
303	40	55	31	1264	1
304	14001	14013	7442	15976	1
305	197	67	151	1739	1
306	812	7101	5204	8148	1
307	13342	3714	10015	10788	1
308	1772	8140	5197	8149	1
309	551	2002	1472	3351	1
310	76	172	201	625	2
311	2208	3663	1249	3776	1
312	1782	8023	5112	8024	1
313	2001	3442	2002	7179	1
314	1631	3337	918	7770	1
315	3296	5936	476	8450	1
316	3502	5726	600	5727	1
317	11355	14325	2646	14326	1
318	3708	6016	6005	7745	1
319	4989	7876	1679	7879	1
320	5499	8486	955	11695	1
321	196	85	221	982	1
322	5842	14831	12174	16112	1
323	2670	5553	5548	11911	1
324	655	2677	1268	3415	2
325	3010	8004	5090	11410	1
326	3607	5869	436	5871	1
327	4279	10823	7425	15703	1
328	52	24	10	492	2
329	1554	7523	7520	13156	1
330	4192	6300	2462	6742	1
331	321	8858	8855	8859	1
332	112	228	34	1653	2
333	1981	2114	617	3404	1
334	821	7069	4386	10446	1
335	2308	3156	1818	3908	1
336	5	199	177	1138	2
337	3172	6244	5292	8239	1
338	840	4521	4520	10636	1
339	4665	14045	10875	14050	1
340	88	150	237	644	1
341	196	982	957	1711	1
342	876	1797	480	2958	1
343	1883	3259	1049	3826	1
344	4192	5175	2463	5861	1
345	25	1286	16	2284	1
346	529	4485	1752	4858	1
347	131	20	182	1133	1
348	3832	6168	2256	6169	2
349	2031	2251	657	2760	2
350	8774	8776	8760	12116	1
351	5420	14542	11384	16093	1
352	228	219	88	1016	1
353	531	2826	2207	3775	1
354	16	249	55	587	2
355	9948	16519	14911	16814	1
356	2642	4498	1490	4800	1
357	5151	8066	1006	13468	1
358	47	213	180	580	2
359	42	183	170	1906	1
360	9257	12518	2303	16159	1
361	947	1214	65	1688	1
362	116	865	111	1110	2
363	5659	5710	5368	8717	1
364	1919	5945	3662	8970	1
365	2038	2799	883	3498	1
366	5407	10050	6793	11722	1
367	5879	8724	3133	8894	1
