1	95307
18797 28437 21237 14045
9129 11020 15044 9468
12430 7439 20098 55354
18495 32761 6342 33670
6065 34282 29382 17333
43362 15997 32295 19651
53594 8723 38885 38876
5363 35220 31991 64829
521 187 8479 4458
23466 23519 51331 74983
5432 3054 3185 19060
34563 6346 51188 26856
4347 8882 14260 3330
6214 25799 17060 45261
19178 18914 49162 49168
0 47878 23316 48107
84390 34057 18282 23344
33768 82457 20909 82456
31692 3070 957 6779
0 9722 24824 14315
16996 52546 52595 52590
32130 51105 16297 28052
6972 10209 2854 12777
2761 15802 5403 12540
48885 60346 60338 64592
47649 31157 6805 31155
37827 550 37913 18747
37354 5057 0 40266
25512 30565 30566 30562
55195 51708 64585 51712
17922 8514 14062 1080
5292 30223 46419 46817
10381 477 9411 4468
1046 27193 27191 43034
1685 17772 15106 1848
44818 57214 59004 39725
0 39454 59788 59751
0 62448 67652 48665
1105 2780 7151 5737
52698 48064 36654 87029
19338 11176 7948 2004
1136 1862 743 7207
90878 37627 37668 8288
79671 73161 73162 57350
6953 2139 82435 38760
328 5153 1109 800
6205 57947 57941 39348
4050 5512 823 6262
28132 10087 43536 62910
49723 5997 26280 79582
34994 85567 88577 75936
2187 16642 1543 1084
4705 3318 2940 6169
7937 818 7936 4878
58937 39665 22397 59292
11173 41677 14778 43656
1853 3997 6207 16431
374 3677 2102 3388
24784 58623 54182 58592
1019 8401 10579 22283
8780 1972 5550 16006
14287 36271 17267 22633
17746 48222 66077 51371
93880 28095 93887 77191
5001 61410 36695 26478
1642 562 2069 1594
79740 82365 52874 30945
4252 882 18235 17940
9847 1844 16782 1505
967 7961 1417 11636
20459 11980 47951 15770
133 20561 11932 12517
0 42029 51468 51517
55107 60848 40509 31718
1282 2214 5793 130
25660 32987 43360 41097
62659 62655 57867 57901
7120 1637 2285 6398
76797 58200 39892 76922
41664 55385 0 50208
21710 15756 37301 20358
10368 10413 5826 20076
8568 8676 16808 13009
12972 23381 28800 4695
1151 17197 29177 7885
2021 13280 3888 1934
4083 50137 0 60963
211 5579 5874 17576
58989 24842 76087 23914
2813 25766 29017 62209
10527 207 1924 16657
17681 47027 52691 35427
29000 674 8266 4678
32203 17210 7642 48789
60998 69975 50875 21039
13425 12675 18521 30813
31619 24666 29622 24598
33683 9238 6523 9213
68035 53665 72525 72515
29027 31753 19319 31754
25973 7101 29540 27477
56557 47703 63694 63696
34500 21400 12484 37997
11751 17692 29777 23541
14479 63692 63693 41725
55152 66615 21626 59847
39290 45759 60579 37478
65128 88971 58125 14329
10111 5931 12230 9346
38626 42553 42554 42552
2068 19301 12470 13046
43159 41731 5661 78959
5985 29888 21268 6980
31759 57853 30832 30830
12372 21689 12665 10288
12846 92244 87776 84797
16258 5717 6137 14873
50057 33506 31768 51912
15883 7233 12726 12761
18923 11736 21492 8616
10696 6811 4847 810
6938 1854 38511 19128
811 11623 11642 21476
11271 10518 794 18206
32906 50483 38793 14199
6772 16804 9616 1618
47371 43900 21295 63396
40215 24962 56987 16495
30589 26450 25617 20308
75 8305 10712 1448
21384 65702 65684 16437
50807 21933 79663 62170
72 26986 30091 30102
3472 14306 43351 4570
81359 17615 74957 5619
0 55947 56239 28217
0 52283 35482 31474
26293 31922 8505 2641
7261 7199 7201 6238
13621 65367 30747 22620
2217 31489 7144 22098
17453 1423 5588 11648
340 6839 6288 19747
27774 43810 43530 34381
45437 54053 67288 21958
13546 65234 65204 65237
18234 10828 4252 10304
14892 57733 8300 75218
7018 2793 4674 5795
31918 821 12036 14319
4858 9933 11418 888
63447 16331 63443 63432
8786 23191 8764 475
21109 12222 41296 34169
3447 2201 18447 18441
4782 14287 22633 14041
27935 14541 9333 27949
16447 24522 18487 13728
1279 6252 6253 5621
5119 9278 9334 1060
20345 54970 24345 48445
69170 67937 90265 57491
29906 33898 29907 6897
44357 90311 72420 79289
38845 3612 7813 20438
627 5567 13326 21487
21234 10783 16490 4456
55320 72740 36443 53730
56628 46991 46998 60902
444 3156 17451 6972
11367 25749 66219 39427
15121 4856 6801 7723
5691 46302 25402 25522
1543 16645 5391 2140
19879 20367 77604 54257
11005 38724 79578 29646
15798 17618 33697 15603
45313 41813 0 30282
61919 61930 21138 8230
5099 4519 4885 5953
5077 54052 89845 61128
2354 5558 20132 2665
74913 83411 92334 72372
24535 31292 30266 27989
27544 3614 5875 32352
0 63081 63088 9230
4277 8696 9 2835
41215 51731 27468 19764
37029 18523 35019 54828
385 34980 3214 10475
5770 7775 12298 3805
9077 12841 6038 9937
2356 21915 26926 62198
3834 8480 1597 3644
60694 49573 81263 51973
59336 34234 76844 88942
2597 10545 2190 4631
2640 12013 4019 2370
5782 43816 49263 43864
63656 1015 49444 73485
4500 5345 8479 4448
3546 819 239 570
31386 49291 9436 66971
12313 22246 0 53344
23056 42799 26302 26296
14344 17837 41493 45897
392 25450 1638 91
17601 13886 18564 2746
23940 42307 16374 9293
5384 5766 16532 2534
3761 3861 88 13144
11283 23280 54925 80136
51448 79611 15552 62135
4031 8974 21435 46401
1270 509 2477 5741
17335 27523 43409 27492
19295 39593 17449 16022
4023 30465 18196 759
34596 20443 35919 34599
7105 16146 19430 41683
59134 9461 79319 66494
2500 15578 3415 8542
9040 21491 4852 14987
1203 27956 36140 7032
30491 8765 19497 26150
24138 12044 26209 26254
6699 15659 16163 20659
10546 26142 15098 836
19136 15455 32499 32504
7318 10784 7647 33574
76729 90877 76890 90875
21572 15199 10126 6241
3514 5837 17773 10523
15485 24583 28723 73898
8513 3735 1833 14495
57934 30786 24368 35010
5456 12446 576 15365
5154 3344 3342 1157
4679 264 3270 202
26627 29531 63721 56935
1789 31509 8760 6728
12894 5714 44320 22047
5073 609 5944 4492
2351 8775 1560 3191
6900 8352 11498 17713
19226 53316 58174 58186
16277 2210 32116 1322
64244 28896 23346 26564
22183 51987 52127 51970
