1 21256
7821	5568	10434	4750
18300	5965	14234	19796
20170	6695	10518	14742
14602	8505	7553	4394
4096	4572	13316	1352
19975	6112	16096	1373
20773	6347	510	20767
20560	19475	14523	8735
18515	7939	3953	52
171	4443	9164	6233
4418	4172	17170	578
7309	13346	4014	3979
19811	9861	2494	9989
18663	17705	18843	19225
1897	12854	14592	10215
6611	3597	1894	6610
19429	2538	15125	103
7551	12510	14200	19443
1191	1806	5288	14635
19912	18326	15468	19909
17001	3464	8521	17000
3856	702	14346	21073
5933	4864	14271	6139
20813	10463	2364	19646
11098	2733	5935	11379
2062	17277	11626	744
19473	446	20867	6650
5561	55	13588	5780
6774	4824	14798	14882
3805	654	1343	3598
15062	18045	9253	11857
4785	6895	18270	15160
15454	15452	14031	18087
17533	17611	19000	834
7746	7747	17619	5739
7940	15641	19650	4298
1887	1386	13739	15477
8383	2574	11117	18404
4767	11028	4367	3492
11685	531	13415	3771
18046	16620	16865	17288
15004	15942	10085	349
5400	8175	2781	10702
16213	10490	16212	17712
9749	11917	3182	1384
8274	20872	11428	1651
19830	16857	1721	16665
10537	19274	5298	5329
17507	10752	8024	6303
13065	17630	19032	19664
4539	15927	5780	13221
9	12406	14868	20516
16292	6184	16296	8144
6216	3756	7562	21020
13587	11549	521	28
1226	14879	3377	1385
20904	16762	13715	8272
18229	18977	20097	9923
2236	19345	4954	19611
17002	18096	15089	18155
19294	10531	10471	11806
14438	897	15776	12007
8512	342	6685	3845
21153	15303	21163	20082
1827	14323	20615	20618
8232	3549	19291	15999
6047	1661	439	6434
8692	14383	14887	2206
7651	1194	2037	6732
5755	3441	8995	5091
15506	19061	21058	16445
4150	4357	13370	2746
3824	4931	3770	310
2777	9515	4565	12066
9419	4680	14282	8713
20412	13521	16317	15065
10343	8979	8016	6089
4150	8808	16746	3279
10830	11325	10225	18541
4728	10659	7107	7888
5481	13004	1819	6538
14056	6533	8455	12340
14161	692	6633	16596
15539	12830	1771	246
18169	18769	3525	13944
9974	19537	10167	7101
16112	7438	411	18718
16091	8363	7469	16092
7915	8913	2393	3184
15614	20253	11580	6803
3593	8723	8748	19713
11566	16230	372	11565
3925	16818	16102	2940
3893	19720	1454	8593
13236	12367	13052	3432
3050	10972	10538	19978
12187	11445	20784	16890
15255	15352	4531	3492
3300	13215	6692	16689
2789	9328	19610	3051
6707	12735	17925	12732
889	19035	5871	8969
2270	2538	17	19427
10952	3508	5900	7229
6852	970	4816	13932
18598	7349	18622	10222
9085	9544	12454	12912
3874	11278	2347	8993
18464	160	8650	11828
8209	3291	13419	2605
7023	2386	5119	12432
14326	15201	6277	15359
17778	17785	15825	15591
8005	19006	7566	5296
8743	17440	11102	3641
7674	15909	6483	3483
18697	553	13806	12004
16035	1478	16754	11487
7960	10393	11007	17673
14118	11143	9071	17039
18324	6374	20563	20569
18497	6167	258	13689
10613	5148	2594	7126
3823	9339	8078	6543
13775	1630	4696	5529
19989	11121	19524	7140
1311	10088	9782	11985
20772	11257	3198	6724
1118	944	5340	2023
5824	13268	9948	13431
152	15029	20550	20540
19287	17518	4631	20665
18441	19257	11632	14462
20399	7137	2293	20401
3119	13154	8456	3243
10737	17263	20983	2769
1176	18262	21207	19470
6128	19699	14218	8685
20245	12749	2823	2017
11553	19790	12425	3855
20040	3454	20041	7857
343	3968	4650	9622
18024	13475	11134	7561
2520	8082	6546	3171
8706	13109	2744	18740
7298	4456	12854	10371
10616	8552	10612	17993
7781	19312	7842	19911
20253	6803	12808	4674
11308	5539	925	6181
17617	11582	8934	17618
16844	13543	131	19882
2507	7925	6252	2882
18584	16897	18443	9320
19817	1790	16584	12038
13867	588	1505	13039
4602	10307	11430	6716
7548	1987	1108	6335
14298	8528	5995	13551
10599	109	12779	16576
17254	20595	10335	18839
5017	19391	14776	5979
17628	18471	1973	17278
6155	2100	7745	15364
9926	6849	8800	2838
16067	10692	10693	9775
9648	13488	11460	6394
17316	13316	6933	3213
6654	17368	3856	13568
19815	6111	20020	19786
10	17852	6231	3987
3559	17293	373	9565
5988	4410	260	14676
4427	6942	18613	15519
1560	1963	8548	7422
7151	5630	2957	16613
6582	19368	5000	11463
16076	13625	4185	16075
13786	4477	1849	1574
18692	14290	12516	13941
3442	5545	2275	8423
9414	14814	19521	5622
5949	4655	1592	6090
6444	12617	8741	6778
11664	10313	187	5704
3427	14883	20787	17009
18216	18069	185	15563
9388	9102	7452	4441
15302	20585	5231	19224
4999	5128	4517	16540
8367	10188	14662	8051
3477	10719	15325	19115
17912	20356	15960	16765
10883	16264	5032	11133
14817	3295	6801	5338
17637	13187	13835	17638
8801	18602	608	20583
14216	8139	14225	899
16349	19281	18956	20503
6887	7402	17232	5312
13863	13915	13950	21140
2660	11031	17719	13528
19957	15114	11151	17076
610	16180	11638	6070
4061	7061	7617	4782
1235	5411	10237	18606
11094	9082	6669	11095
12985	7005	9982	15600
4737	15797	4739	12297
284	3706	16624	9406
16186	17439	16184	5753
19099	7253	4575	12881
20284	6117	20424	19774
2078	13665	11215	3259
9352	13460	13458	14379
20996	684	11626	17721
2442	16757	16158	10122
10573	7811	1249	10574
19968	2438	20663	19319
9155	15401	422	8642
9153	11442	8158	298
12465	14777	18939	20366
7286	7169	410	17262
18286	14708	6199	4278
8227	6704	13783	19660
11359	11355	424	11358
2155	8659	18747	966
7006	3143	20327	20323
1005	13272	17953	11323
17166	3611	860	17165
12742	7469	1537	12327
8571	8577	14780	7163
13053	19739	14872	19984
21126	6020	4992	6555
10619	1916	15157	10622
16973	14381	4713	15473
4411	12206	5509	15211
12589	18320	18898	20553
4327	12394	4934	19533
15452	15450	1259	18084
16434	2174	4738	16429
15653	14282	3312	2093
11930	5089	1498	1883
15766	4702	13678	11471
19358	13060	457	19969
84	21150	5915	4971
