1	21256
1	1166	2651	1585	1584	2
2	280	3480	3588	3376	3
3	1433	3116	3570	1022	3
4	2757	2756	1782	1107	2
5	2454	3044	2463	3040	1
6	1595	1597	3721	882	3
7	903	1014	3652	1017	3
8	425	426	3639	82	3
9	1195	3160	3505	1566	3
10	2576	3014	1957	3046	1
11	745	714	3441	38	3
12	1881	2331	3046	2330	1
13	166	584	3523	586	4
14	3092	3313	3335	889	3
15	4	3579	3623	782	3
16	2842	1622	2592	1623	2
17	3151	3394	3691	3328	4
18	108	11	3354	193	4
19	3063	873	3465	1378	3
20	701	722	3638	662	4
21	2140	2755	3045	2754	1
22	2197	1558	1164	1570	2
23	2587	2912	2333	1285	2
24	1024	1749	3105	990	3
25	1808	2371	2850	2887	2
26	337	336	3687	5	3
27	303	135	3667	419	4
28	1085	2138	2110	2985	2
29	977	2598	1611	1613	2
30	2999	2940	1733	919	2
31	997	3116	3607	1082	3
32	861	930	3313	932	3
33	1804	2220	1187	2931	2
34	3258	3399	3592	3091	3
35	1043	2726	1504	2768	2
36	3354	3362	3453	3156	4
37	1262	2806	1405	2449	2
38	3153	3267	3336	3225	4
39	1225	1471	3513	1691	3
40	1174	2539	1801	2207	2
41	2686	1400	3061	829	2
42	1795	1266	3123	1410	3
43	2943	2852	3041	2067	1
44	2072	2658	2659	1530	2
45	346	3283	3492	183	3
46	3575	3631	3714	3257	4
47	1162	3198	3525	1385	3
48	3224	3270	3344	3178	4
49	1159	2613	1603	2190	2
50	626	3543	3544	168	4
51	2985	2230	3045	2110	1
52	1566	3160	3505	1122	3
53	2456	2457	2166	1135	2
54	783	3398	3689	706	4
55	2129	1085	2985	2138	2
56	2328	875	1630	1904	2
57	1177	1341	1718	2922	2
58	686	18	3673	687	3
59	3136	3285	3498	3243	3
60	1031	2066	2113	3080	2
61	508	342	3367	506	4
62	3116	3172	3258	844	3
63	2003	2830	3047	2224	1
64	1272	3605	3708	3149	3
65	623	52	3715	622	4
66	399	3262	3720	729	3
67	1208	2241	2242	2083	2
68	3047	2831	2829	1981	1
69	510	3303	3372	509	4
70	197	3469	3486	684	3
71	478	3579	3693	29	3
72	682	397	3404	400	4
73	2488	2267	3040	2266	1
74	3341	3590	3678	3214	3
75	2521	2421	3046	3044	1
76	1163	1032	3709	1059	3
77	940	2597	1611	1969	2
78	397	179	3404	396	4
79	1819	1131	3433	1713	3
80	7	690	3584	689	4
81	3121	3147	3475	1552	3
82	2013	3044	2156	2903	1
83	1194	2676	1567	2227	2
84	3170	3209	3561	3109	3
85	730	3361	3573	731	3
86	1741	3126	3659	1034	3
87	1235	922	3429	1233	3
88	2135	1746	2746	1104	2
89	1291	3558	1553	961	3
90	652	161	3303	651	4
91	3090	3225	3257	3137	4
92	1199	1086	2111	1196	2
93	1818	1768	3613	1114	3
94	3148	3233	3429	3193	3
95	3266	3386	3546	3213	3
96	3222	3387	3388	3182	3
97	1317	1008	3661	1314	3
98	824	3512	3513	1471	3
99	1800	1248	3134	1134	3
